Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good,-28.7744,114.6089
Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate,4.4667,101.05
Malaysia,Lahad Datu,48,Good,1,Good,15,Good,0,Good,48,Good,5.03,118.34
Australia,Ballarat,22,Good,0,Good,13,Good,6,Good,22,Good,-37.5608,143.8475
Australia,Ballina,34,Good,0,Good,34,Good,1,Good,15,Good,-28.8333,153.5333
Australia,Bundaberg,32,Good,0,Good,32,Good,0,Good,10,Good,-24.8661,152.3494
Australia,Port Macquarie,29,Good,0,Good,29,Good,0,Good,7,Good,-31.4333,152.9
Malaysia,Kangar,105,Unhealthy for Sensitive Groups,2,Good,13,Good,8,Good,105,Unhealthy for Sensitive Groups,6.4333,100.2
Malaysia,Melaka,61,Moderate,1,Good,31,Good,0,Good,61,Moderate,2.1944,102.2486
Australia,Griffith,24,Good,0,Good,24,Good,0,Good,10,Good,-34.29,146.04
Australia,Griffith,24,Good,0,Good,24,Good,0,Good,10,Good,41.5277,-87.4239
Australia,Singleton,31,Good,0,Good,3,Good,13,Good,31,Good,-32.5667,151.1697
Malaysia,Kluang,80,Moderate,1,Good,38,Good,0,Good,80,Moderate,2.0336,103.3194
Malaysia,Kuala Lumpur,76,Moderate,2,Good,41,Good,2,Good,76,Moderate,3.1478,101.6953
Australia,Townsville,23,Good,0,Good,21,Good,1,Good,23,Good,-19.25,146.8167
Malaysia,Beaufort,63,Moderate,6,Good,36,Good,0,Good,63,Moderate,32.4597,-80.7235
Malaysia,Kuala Lipis,70,Moderate,2,Good,10,Good,3,Good,70,Moderate,4.18,102.05
Australia,Batemans Bay,29,Good,0,Good,29,Good,0,Good,19,Good,-35.7081,150.1744
Australia,Burnie,26,Good,0,Good,26,Good,1,Good,12,Good,-41.0636,145.8753
Australia,Canberra,24,Good,0,Good,24,Good,1,Good,11,Good,-35.2931,149.1269
Australia,Pakenham,24,Good,0,Good,17,Good,3,Good,24,Good,-38.0712,145.4878
Australia,Palmerston,264,Very Unhealthy,9,Good,2,Good,17,Good,264,Very Unhealthy,53.35,-6.379
Australia,Rockhampton,25,Good,0,Good,25,Good,4,Good,13,Good,-23.3781,150.5136
Australia,Lismore,31,Good,0,Good,31,Good,2,Good,16,Good,-28.8167,153.2833
Australia,Geelong,33,Good,0,Good,25,Good,1,Good,33,Good,-38.15,144.35
Australia,Bendigo,23,Good,0,Good,23,Good,0,Good,23,Good,-36.75,144.2667
Australia,Alice Springs,52,Moderate,0,Good,18,Good,0,Good,52,Moderate,-23.7,133.8667
Malaysia,Cukai,93,Moderate,1,Good,38,Good,0,Good,93,Moderate,4.2332,103.4479
Australia,Broken Hill,126,Unhealthy for Sensitive Groups,0,Good,15,Good,0,Good,126,Unhealthy for Sensitive Groups,-31.95,141.4667
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,-27.7464,29.9328
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,54.98,-1.61
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,-32.9167,151.75
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,47.5304,-122.1633
Australia,Newcastle,48,Good,0,Good,9,Good,14,Good,48,Good,35.2401,-97.5995
Australia,Mount Isa,46,Good,0,Good,21,Good,0,Good,46,Good,-20.7261,139.4938
Australia,Nambour,32,Good,0,Good,27,Good,2,Good,32,Good,-26.6269,152.9591
Malaysia,Parit Buntar,79,Moderate,2,Good,60,Moderate,0,Good,79,Moderate,5.1167,100.5
Australia,Wangaratta,15,Good,0,Good,15,Good,1,Good,15,Good,-36.3583,146.3125
Australia,Roebourne,18,Good,0,Good,18,Good,0,Good,11,Good,-20.7667,117.15
Australia,Brisbane,31,Good,0,Good,30,Good,6,Good,31,Good,-27.4678,153.0281
Malaysia,Kuala Terengganu,75,Moderate,1,Good,40,Good,0,Good,75,Moderate,5.3292,103.1361
Malaysia,Ipoh,69,Moderate,1,Good,38,Good,0,Good,69,Moderate,4.5972,101.075
